subject,alphas,beta_mb,beta_mf0,beta_mf1,beta_stick,beta_s2
3XLBSAQ9Z4C7BMN2OIADTZW4XSI7ZN,0.451248,0.693944,0.448418,0.825881,-0.169985,1.88678
3IHR8NYAM71GEV3DZBE4ZPAGWBY4PW,0.0676759,0.586705,0.116184,1.02636,1.08532,0.607354
37UEWGM5HT8KY9M9PLZR6M3SLUZ1R1,0.232147,0.228191,0.556967,0.608723,0.1697,1.43123
3OS4RQUCR9FO8HZS0NSMV92I3F9BFM,0.318618,0.23604,0.11805,0.236397,-0.0996802,1.06241
3ZQIG0FLQEG5SHJTVTTM09IP2R8VW2,0.169681,0.0150246,0.231325,0.861714,-0.431861,1.45787
39LOEL67OS5AQ7LSDG7A3YNKTMQ38K,0.202468,1.35715,0.0410181,0.338183,0.202921,1.87063
32KTQ2V7RDFBQYCCOQI3ZTR1DXB9M9,0.110058,0.582486,0.314476,-0.344271,1.8805,0.934936
3V0Z7YWSIY0JG1LMH94FC220Y1OV2T,0.271383,0.517127,0.362696,0.329975,0.285436,1.29088
3ZAZR5XV01IDN3IYFZIO9LOIXZTCZW,0.196463,0.36508,0.240991,0.222661,-2.08322,1.42342
3RRCEFRB7MCEA123G6W3455RFNAB45,0.239688,-0.250182,0.222026,0.235247,-0.498755,0.106265
30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,0.379809,0.631237,0.181434,0.767482,-0.516385,2.11722
3JCG6DTRV3Q83CRQXL062X1VXFRQQC,0.253902,-0.159972,0.0530932,0.603292,2.29496,0.772491
3B2X28YI3WFSPO6HZUPI13P5BEFB6P,0.366135,0.808569,0.719965,0.184057,0.490458,2.29583
3E337GFOL98WNQKKEX3D4P2OMMTNGZ,0.217065,0.503299,0.176497,0.391806,-0.480068,1.54723
3U088ZLJVKTPZGIDSW5XFGSZ73ZW0U,0.496125,0.173722,0.178088,0.0390826,-0.290327,1.11739
3IGI0VL647KKF31I2GGL9YBQD3HNO9,0.459281,0.565903,0.319542,0.949225,0.393359,1.66276
3QXNC7EIPIVENK55ZLV51WKOABT90F,0.349524,-0.0154734,0.248211,0.299537,0.101582,0.738654
3HMIGG0U4L6B6AIG2100TSJX2JY8Y0,0.424874,0.0286588,0.938389,0.834244,-0.367653,2.20234
3SITXWYCNV9583QD0HY81G2P8IEXB5,0.530679,0.535729,0.15539,0.897361,0.983538,1.7373
3QAPZX2QN4D3N0K6ECGQR9CA457022,0.20325,1.40742,0.518585,0.514869,-1.30589,1.9098
31Q0U3WYDPFAGQ2UG71L15CSKD917W,0.410898,0.608036,0.607444,0.622282,0.0614387,1.83175
3K3R2QNK8B3U36HLXS9PQ38VQ5Q9UL,0.170047,0.983441,0.16875,0.297388,-1.85247,1.03949
3LWJHTCVCCMBCN1HJ5PCQYXHQW6FQX,0.00260512,0.0981503,0.00281112,-0.145445,-1.9928,0.275597
3KAKFY4PGU23FDX5M2J1GNHYWDRI3T,0.530791,0.748039,0.0452058,1.28809,0.0346126,1.7283
35GCEFQ6I5OPA3MFM67NGIKORHMZ3H,0.411327,1.68,-0.0455703,0.715608,-0.268832,2.53345
35USIKEBNRGUQXVE2KURSYPZR596NS,0.246131,0.787021,0.104019,0.223129,-0.341775,1.36769
3GA6AFUKOOO3JIMLGK1GGBGJV2WH3M,0.445062,0.945698,0.333389,0.336601,-2.77151,1.24154
32ZKVD547FNTS5JZGSRKU0DL1NH3BF,0.721143,0.277928,0.116795,0.729764,-2.98203,1.17677
34QN5IT0TZRE9FMVUTPR10PDQAC08S,0.303238,0.121853,0.301272,0.332762,-0.0950961,1.24731
3KXIR214I4GKMO27XD3S3C2NLMT422,0.133955,0.262421,0.0408529,0.348001,1.02053,0.170656
33IZTU6J8114PP7FB3K3R5CPB8GSXK,0.310387,0.149278,0.152204,1.28567,-0.0272944,1.33044
3IUZPWIU1O7RC6PHWPFFY078MT9KWD,0.298008,0.329111,0.159051,0.669171,-0.379554,1.53726
3R0T90IZ1SCDWMNTP7UZOE8CNDBGCW,0.582292,0.419618,-0.00562246,0.134308,-0.478202,0.992292
32EYX73OY09076D7R99BHO8PWMURUE,0.0106489,0.308261,0.0024886,0.249356,-0.2093,0.26
3I2PTA7R3TUMS9TVKGG96BPMYE3KQS,0.155536,0.533847,-0.175784,0.637948,1.08831,1.05761
3KKG4CDWKIYVM8N6IMI7DZA1R8L498,0.183303,1.3653,0.0210135,0.278573,0.1683,1.46302
3GNA64GUZE4JAQ8SDTC34M641JY5Q8,0.288606,0.0544011,0.0477952,1.31637,-0.265924,0.920845
3XLBSAQ9Z4C7BMN2OIADTZW4XST7ZY,0.228404,0.078879,-0.0208671,0.515288,-0.0672806,1.63315
3KJYX6QCM9BJMXJUOUA7BJOH0HIJVM,0.226933,-0.00583508,0.0288951,0.0494231,-1.01696,0.391455
33CUSNVVNNCWR4RYPX26UFVV9OC887,0.223473,0.753098,0.223491,0.171572,-0.500945,2.11102
3JV9LGBJWTEE5BKWFC3QJE2TBTYGO0,0.32025,0.599503,0.00853809,0.901879,1.10355,1.52241
31QNSG6A5RTSRQMFFSA0GFZ0XF3872,0.410558,0.258044,0.241614,0.62924,1.15891,1.81197
3RSDURM96AMSFBS7F4M0L2FJCNNEYX,0.491015,0.315658,0.109485,0.773521,-1.18226,1.46122
3TS1AR6UQQE165W2N6G6Q7GMKQ97FP,0.519876,0.207643,0.166795,0.378337,-0.546063,0.903204
36TFCYNS44AFZGTZ0984NR5N3VLXHN,0.156079,-0.164173,0.401998,-0.146417,1.01543,1.23095
3D4CH1LGEATBYOGQDNK8MO74HBRG90,0.448202,0.863793,0.40018,0.549245,0.546327,2.29549
34YB12FSQYOQ58ZK2WODRADOGNRGMH,0.379543,0.153237,0.743016,0.293414,-1.18211,1.60259
3UN61F00HWPJMRNSQ8139CG9X5XR5S,0.203015,0.951444,-0.132144,0.303252,-0.38652,1.67205
3GA6AFUKOOO3JIMLGK1GGBGJVWJ3HJ,0.289869,0.749282,0.158771,0.273104,0.398702,0.957263
3QHK8ZVMIMIA899OMYVKQM721SVBLQ,0.327542,-0.376976,-0.0839689,0.113757,0.327385,0.678938
3EFVCAY5L39LBLNHG1ZXJ549PJB8J0,0.510646,0.137319,0.190363,0.434097,0.489423,1.2861
33PPUNGG385HT57HXW8JYGN4X6BZRG,0.0517728,0.104049,0.0452724,0.640176,-0.433481,0.68779
3X4JMASXCM9XBDK2X591S2FEYGP0BJ,0.207686,0.926272,0.0726164,-0.0622051,0.650259,1.23235
3I02618YA06FVTXSEH5MCT8AV42PUG,0.475021,0.403753,0.272078,0.625943,0.0274702,1.50667
35USIKEBNRGUQXVE2KURSYPZS8X6NN,0.286686,0.118192,-0.016858,0.182918,-1.37324,0.615596
3E4GGUZ1T8R50QRAI5Q8ATRJIMM2KL,0.261189,0.360755,0.334033,0.221557,-0.089339,1.34005
3Q5ZZ9ZEVOFD4M8WRZV3IVL46FX85O,0.137675,0.341008,-0.0832766,0.729983,-0.30184,0.665202
3AZHRG4CU4KS8IGPICUVAJH2AJJ30S,0.354452,0.316824,0.3166,0.515222,-1.88872,0.680776
3JPSL1DZ5SZVDZ7HSXB383RLNOIAN5,0.59192,0.536202,-0.00129838,0.781643,0.0942633,1.15444
36DSNE9QZ5YOWDAXNIOTGRU94JJJO8,0.0407581,0.151245,0.0443858,0.170984,1.07308,0.511221
3EKVH9QMEY4XMKL0QO4L6GWTYZND2P,0.352409,0.559194,0.313632,1.18651,-1.18726,1.87171
